Facility_Mnemonic,Location_Mnemonic,Coid,Network_Mnemonic_CS,Facility_Desc
COCCV     ,CC.US     ,26700,UTA ,Cache Valley Hospital
Wichita   ,?,51603,1SQI,Wichita
COCNB_O   ,?,30667,COA ,North Suburban - JV_DO NOT USE
COCVO     ,V.OUTLAB  ,34385,TXF ,Northeast Methodist Hospital
Las Vegas ,?,32816,1SQI,Las Vegas Flamingo
COCFI     ,AN.CS     ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.VR      ,26537,FLQ ,Memorial Hospital of Tampa
COCHM     ,Q.NERH    ,36243,TNA ,Horizon Medical Center
Jacksonvil,?,50976,1SQI,Jacksonville Jax
COCCS     ,H.CCSC    ,50973,FLC ,Cape Coral Surgery Center Ltd
North Palm,?,50934,1SQI,North Palm Beach
COCRX     ,G.ONCNAV  ,30555,CAC ,Los Robles Hospital And Medica
Dallas - P,?,38304,1SQI,Dallas - Plano
COCSAA    ,Y.VAHCSFRD,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.PT      ,30949,FLG ,Blake Medical Center
COCSY     ,SM.PACUOF ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,Q.RADONC  ,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.HM      ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,K.CSS     ,8540,VAC ,Reston Hospital Center
COCNP     ,E.EDPH    ,30941,FLG ,Medical Center of Trinity
Tuckahoe  ,?,9355,1SQI,Tuckahoe
Nashville-,?,9884,1SQI,Nashville-Summitt
COCEW     ,D.LP      ,37934,FLG ,Edward White Hospital
COCIX     ,F.GS      ,54325,TXF ,Surgicare Of Central San Anton
McKinney  ,?,35323,1SQI,McKinney
Atlanta - ,?,8630,1SQI,Atlanta - Marietta
COCICC    ,L.BONEDEN ,3449,VAA ,"Chesterfield Imaging, LLC"
LORAIN    ,?,7092,1SQI,LORAIN
Johnson Co,?,3420,1SQI,Johnson County
COCAA     ,E.MEDS. MC,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.ACUCATH,27100,COA ,Swedish Medical Center
COCCA     ,V.LDOP    ,8625,GAA ,Cartersville Medical Center
COCXG     ,J.TEST    ,30996,FLK ,St. Lucie Medical Center
COCAY     ,X.GEN     ,54327,TXF ,Methodist Ambulatory Surgery H
Chattanoog,?,54204,1SQI,Chattanooga E.P.
COCRBE    ,J.GI      ,9728,KSA ,Belton Regional Medical Center
COCNV     ,G.SDC-426 ,34293,TNA ,Skyline Medical Center
COCICP    ,Q.MAMMO   ,23001,VAA ,Independence Park Imaging
COCBAX    ,E.PHA     ,6679,TXI ,St David's Pavilion
COCDC     ,LMS.DOCT  ,31033,GAA ,Doctors Hospital (Columbus)
COCMHB    ,D.CRU     ,26110,FLB ,Mercy Hospital
COCSMC    ,SM.LAB    ,25558,FLG ,Largo Medical Center - Indian
COCZA     ,L.MO      ,27401,COA ,Centennial Healthcare Plaza
COCRQ     ,?,34907,WVA ,RALEIGH GENERAL HOSPITAL
COCDW     ,PARMCOCDW ,8611,GAA ,Emory Dunwoody Medical Center
COCXJ     ,H.523     ,30916,FLL ,North Florida Regional Medical
Bayonet Po,?,9909,1SQI,Bayonet Point
COCNT     ,?,31834,LAD ,NORTH MONROE MEDICAL CENTER
Jacksonvil,?,50948,1SQI,Jacksonville Parkside
COCEAH    ,BA.PTD    ,27491,COA ,Spalding @ PSL
COCEAH_O  ,BA.MCRB   ,25100,COA ,Spalding @ PSL
COCPJ     ,Z.MM      ,31050,GAA ,Palmyra Medical Centers
COCWS     ,W.CR      ,30908,FLB ,Westside Regional Medical Cent
COCUH     ,UPAYR     ,35940,FLB ,University Hospital
COCNH     ,N.HSK     ,34329,TXG ,Medical City North Hills
COCSW     ,MADCOCSW  ,35955,FLC ,Southwest Florida Reg Med Cent
MSLP      ,?,25016,UTA ,Lone Peak Hospital
Dallas - M,?,3372,1SQI,Dallas - Medical City
COCMK     ,Q.PATOP   ,38333,TXG ,Medical City McKinney
COCYK     ,G.SIC     ,30927,FLL ,Ocala Regional Medical Center
Denver - M,?,55603,1SQI,Denver - Midtown
Jeffersonv,?,51401,1SQI,Jeffersonville
COCWU     ,Z.GMU     ,34327,TXA ,West Houston Medical Center
COCOVP    ,V.CHAPLAIN,9722,KSA ,Overland Park Regional Medical
COCMN     ,E.REF     ,37333,TXA ,Mainland Medical Center
Miami Lake,?,9925,1SQI,Miami Lakes SC
COCQV     ,F.9W      ,34003,SCA ,Grand Strand Medical Center
COCCBM    ,Q.OBOR    ,34415,UTA ,Ogden Regional Medical Center
Miami Surg,?,35945,1SQI,Miami Surgical Park
COCGV     ,AA.PMTWNDW,31767,TNA ,Greenview Regional Hospital
COCLS     ,E.SLP     ,31821,LAB ,LAKESIDE HOSPITAL
Clearwater,?,50909,1SQI,Clearwater - Countryside
COCOA     ,D.RTX     ,31803,LAA ,OAKDALE COMMUNITY HOSPITAL
COCSNV    ,H.ED      ,8967,NVA ,Southern Hills Hosp & Med Ctr-
COCNVC    ,D.MRI     ,9472,VAC ,NORTHERN VIRGINIA COMMUNITY HO
Port Charl,?,3158,1SQI,Port Charlotte
COCDL     ,H.8EE     ,34325,TXG ,Medical City Dallas
Nashville ,?,54211,1SQI,Nashville
COCRPC    ,L.CC      ,9729,KSA ,Research Psychiatric Center
Las Vegas ,?,52801,1SQI,Las Vegas Rancho
COCPOP    ,F.BB      ,26536,FLQ ,Palms of Pasadena Hospital
COCTU     ,D.CARDE2  ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.GIFT    ,9727,KSA ,Research Medical Center
COCIRF    ,LABCORP   ,8296,IRL ,Integrated Regional Laboratory
COCGHA    ,E.OT2     ,26330,KSB ,Wesley Woodlawn Hospital & ER
COCTAC    ,D.IV      ,26535,FLQ ,Tampa Community Hospital
Lake Worth,?,50933,1SQI,Lake Worth
South Town,?,25194,1SQI,South Towne
Houston - ,?,54366,1SQI,Houston - Bay Area
COCRM     ,M.TEL     ,31052,GAA ,Redmond Regional Medical Cente
COCVS     ,V.SCSA    ,50925,FLC ,Surgery Center At St. Andrews
COCEAV_OLD,?,30651,COA ,Emergency & Transport System
Dallas - C,?,25373,1SQI,Dallas - Calloway
COCGBA    ,X.400A    ,6678,TXI ,St David's Rehab
COCTR     ,D.TPSY    ,34001,SCA ,Trident Regional Medical Cente
Chattanoog,?,54201,1SQI,Chattanooga - Atrium
Clearwater,?,50907,1SQI,Clearwater
COCGTH    ,V.PACU    ,25067,TXI ,St. David's Georgetown
Denver - L,?,55601,1SQI,Denver - Lakewood
COCSR_O   ,?,8936,COA ,Sky Ridge Medical Center_DO NOT USE
Winter Par,?,50931,1SQI,Winter Park
COCSK     ,J.SWB     ,7850,LAA ,SAVOY MEDICAL CENTER
COCSE     ,J.FT      ,37941,FLG ,South Bay Hospital
COCSN     ,N.VSP     ,34335,TXF ,Methodist Specialty & Transpla
COCMHL    ,BA.LDANES ,26890,TXF ,Methodist Hospital South
COCAT     ,V.FERT    ,30920,FLE ,Aventura Hospital & Medical Ce
COCJM     ,J.TC      ,36957,FLH ,Memorial Hospital Jacksonville
COCBAU    ,H.BIO     ,8224,TXI ,North Austin Medical Center
Weslaco   ,?,54338,1SQI,Weslaco
COCEJC    ,EJ.ZPASA  ,3402,GAA ,EMORY JOHNS CREEK HOSPITAL
COCSR     ,AS.ERBEHAV,27150,COA ,Sky Ridge Medical Center
COCNU     ,?,34908,WVA ,PUTNAM GENERAL HOSPITAL
Denver Ros,?,9891,1SQI,Denver Rose
COCDAT    ,Y.DERM    ,6610,TXF ,"Northeast Methodist Surgicare,"
COCDT     ,W.MED     ,36930,FLC ,Doctors Hospital Of Sarasota
COCUB_O   ,?,30641,COA ,P-SL Medical Center_DO NOT USE
