message_control_id,unique_message_id
sending_facility,facility_mnemonic
origination_date_time,message_origin_or_requested_date_time
transcription_date_time,message_signed_or_observation_date_time
message_type|message_code,message_type
message_type|trigger_event,message_event_type
patient_account_num,patient_account_number
medical_record_num,patient_mrn
medical_record_urn,patient_urn
date_time_of_birth,patient_dob
patient_name|family_name,patient_last_name
patient_name|given_name,patient_first_name
administrative_sex,patient_gender
admit_date_time,patient_admission_date
discharge_date_time,patient_discharge_date
originator_code_name|person_id,provider_author
originator_code_name|family_name,provider_author_last_name
originator_code_name|given_name,provider_author_first_name
originator_code_name|second_and_further_given_names_or_initials_thereof,provider_author_middle_name
originator_code_name|suffix,provider_author_suffix
originator_code_name|prefix,provider_author_prefix
originator_code_name|degree,provider_author_degree
filler_order_num,note_type
document_type|id,document_type_identifier
document_type|text,document_type_text
document_type|name_of_coding_system,document_type_name_of_coding_sys
document_completion_status,document_completion_status
obsv_value,message_text
ssn_num_patient,social_security_number
patient_id_list|id_num,social_security_number
patient_id_list|id_type_code,social_security_number
patient_address|street_address,patient_address_1
patient_address|other_designation,patient_address_2
patient_address|city,patient_city
patient_address|state_or_province,patient_state
patient_address|zip_or_postal_code,patient_zip_code
patient_class,patient_type_status
coid_ref_look_up,coid
pcp,primary_care_physician
attending_doctor|name_context,pcp_phone
date_time_of_message,message_created_date_time
message_flag_static,message_flag
ocd,attending_physician
