MSH,message_control_id,MT,STARTSWITH,AND
OBR,universal_service_id|name_of_coding_system,CT,EQUAL,AND
MSH,sending_facility,COCAA,EQUAL,OR
MSH,sending_facility,COCYE,EQUAL,OR
MSH,sending_facility,COCZA,EQUAL,OR
MSH,sending_facility,COCFI,EQUAL,OR
MSH,sending_facility,COCNB,EQUAL,OR
MSH,sending_facility,COCUB,EQUAL,OR
MSH,sending_facility,COCZS,EQUAL,OR
MSH,sending_facility,COCSR,EQUAL,OR
MSH,sending_facility,COCSED,EQUAL,OR
MSH,sending_facility,COCEAH,EQUAL,OR
MSH,sending_facility,COCEAV,EQUAL,OR
MSH,sending_facility,COCEAV,EQUAL,OR
MSH,sending_facility,COCMCI,EQUAL,OR
MSH,sending_facility,COCLSU,EQUAL,OR
MSH,sending_facility,COCRC,EQUAL,OR
MSH,sending_facility,COCCM,EQUAL,OR
MSH,sending_facility,COCLAF,EQUAL,OR
MSH,sending_facility,COCMEN,EQUAL,OR
MSH,sending_facility,COCOVP,EQUAL,OR
MSH,sending_facility,COCRBE,EQUAL,OR
MSH,sending_facility,COCRPC,EQUAL,OR
MSH,sending_facility,COCBLM,EQUAL,OR
MSH,sending_facility,COCDE,EQUAL,OR
MSH,sending_facility,COCSY,EQUAL,OR
MSH,sending_facility,COCNV,EQUAL,OR
MSH,sending_facility,COCTN,EQUAL,OR
MSH,sending_facility,COCHN,EQUAL,OR
MSH,sending_facility,COCHM,EQUAL,OR
MSH,sending_facility,COCGV,EQUAL,OR
MSH,sending_facility,COCTD,EQUAL,OR
MSH,sending_facility,COCSO,EQUAL,OR
MSH,sending_facility,COCCT,EQUAL,OR
MSH,sending_facility,COCCD,EQUAL,OR
MSH,sending_facility,COCIX,EQUAL,OR
MSH,sending_facility,COCMT,EQUAL,OR
MSH,sending_facility,COCVO,EQUAL,OR
MSH,sending_facility,COCSN,EQUAL,OR
MSH,sending_facility,COCWM,EQUAL,OR
MSH,sending_facility,COCMTA,EQUAL,OR
MSH,sending_facility,COCNCA,EQUAL,OR
MSH,sending_facility,COCDAT,EQUAL,OR
MSH,sending_facility,COCMSO,EQUAL,OR
MSH,sending_facility,COCAY,EQUAL,OR
MSH,sending_facility,COCNH,EQUAL,OR
MSH,sending_facility,COCFPA,EQUAL,OR
MSH,sending_facility,COCLE,EQUAL,OR
MSH,sending_facility,COCMK,EQUAL,OR
MSH,sending_facility,COCMCB,EQUAL,OR
MSH,sending_facility,COCDR,EQUAL,OR
MSH,sending_facility,COCDL,EQUAL,OR
MSH,sending_facility,COCGBE,EQUAL,OR
MSH,sending_facility,COCDAE,EQUAL,OR
MSH,sending_facility,COCPL,EQUAL,OR
MSH,sending_facility,COCAR,EQUAL,OR
MSH,sending_facility,COCPZ,EQUAL,OR
MSH,sending_facility,COCGTH,EQUAL,OR
MSH,sending_facility,COCBAX,EQUAL,OR
MSH,sending_facility,COCCBA,EQUAL,OR
MSH,sending_facility,COCGBA,EQUAL,OR
MSH,sending_facility,COCSDA,EQUAL,OR
MSH,sending_facility,COCAS,EQUAL,OR
MSH,sending_facility,COCBAU,EQUAL,OR
MSH,sending_facility,COCRK,EQUAL,OR
OBR,universal_service_id|id,ABD,EQUAL,OR
OBR,universal_service_id|id,ABD/PELWWO,EQUAL,OR
OBR,universal_service_id|id,ABDC,EQUAL,OR
OBR,universal_service_id|id,ABDCCT,EQUAL,OR
OBR,universal_service_id|id,ABDCT,EQUAL,OR
OBR,universal_service_id|id,ABDCTR,EQUAL,OR
OBR,universal_service_id|id,ABDCTR2,EQUAL,OR
OBR,universal_service_id|id,ABDP,EQUAL,OR
OBR,universal_service_id|id,ABDPC,EQUAL,OR
OBR,universal_service_id|id,ABDPEL,EQUAL,OR
OBR,universal_service_id|id,ABDPELC,EQUAL,OR
OBR,universal_service_id|id,ABDPELCREC,EQUAL,OR
OBR,universal_service_id|id,ABDPELM,EQUAL,OR
OBR,universal_service_id|id,ABDPELVWO,EQUAL,OR
OBR,universal_service_id|id,ABDPELW,EQUAL,OR
OBR,universal_service_id|id,ABDPELWO,EQUAL,OR
OBR,universal_service_id|id,ABDPELWSIR,EQUAL,OR
OBR,universal_service_id|id,ABDPELWURO,EQUAL,OR
OBR,universal_service_id|id,ABDPTRIPH,EQUAL,OR
OBR,universal_service_id|id,ABDPW,EQUAL,OR
OBR,universal_service_id|id,ABDSTONE,EQUAL,OR
OBR,universal_service_id|id,ABDW,EQUAL,OR
OBR,universal_service_id|id,ABDWANGIO,EQUAL,OR
OBR,universal_service_id|id,ABDWM,EQUAL,OR
OBR,universal_service_id|id,ABDWNI,EQUAL,OR
OBR,universal_service_id|id,ABDWO,EQUAL,OR
OBR,universal_service_id|id,ABDWOPWO,EQUAL,OR
OBR,universal_service_id|id,ABDWOPWOLT,EQUAL,OR
OBR,universal_service_id|id,ABDWPELANG,EQUAL,OR
OBR,universal_service_id|id,ABDWPW,EQUAL,OR
OBR,universal_service_id|id,ABDWW,EQUAL,OR
OBR,universal_service_id|id,ABDWWO,EQUAL,OR
OBR,universal_service_id|id,ABDWWONI,EQUAL,OR
OBR,universal_service_id|id,ABDWWOPW,EQUAL,OR
OBR,universal_service_id|id,ABDWWOPWWO,EQUAL,OR
OBR,universal_service_id|id,ABPEL,EQUAL,OR
OBR,universal_service_id|id,ABPELC,EQUAL,OR
OBR,universal_service_id|id,ABPELW,EQUAL,OR
OBR,universal_service_id|id,ABPLW,EQUAL,OR
