SegmentName,Field_Name,Component_Name,Sub_Component_Name
ABS.1,abs_discharge_care_provider,,
ABS.2,abs_transfer_medical_service_code,,
ABS.3,abs_severity_of_illness_code,,
ABS.4,abs_attestation_date_time,,
ABS.5,abs_attested_by,,
ABS.6,abs_triage_code,,
ABS.7,abs_abstract_completion_date_time,,
ABS.8,abs_abstracted_by,,
ABS.9,abs_case_category_code,,
ABS.10,abs_caesarian_section_ind,,
ABS.11,abs_gestation_category_code,,
ABS.12,abs_gestation_period_weeks,,
ABS.13,abs_newborn_code,,
ABS.14,abs_stillborn_ind,,
ACC.1,acc_accident_date_time,,
ACC.2,acc_accident_code,,
ACC.2.1,acc_accident_code,primary_id,
ACC.2.2,acc_accident_code,text,
ACC.2.3,acc_accident_code,name_of_coding_sys,
ACC.2.4,acc_accident_code,alt_id,
ACC.2.5,acc_accident_code,alt_text,
ACC.2.6,acc_accident_code,name_of_alt_coding_sys,
ACC.2.7,acc_accident_code,coding_sys_ver_id,
ACC.2.8,acc_accident_code,alt_coding_sys_ver_id,
ACC.2.9,acc_accident_code,original_text,
ACC.2.10,acc_accident_code,second_alt_id,
ACC.2.11,acc_accident_code,second_alt_text,
ACC.2.12,acc_accident_code,name_of_second_alt_coding_sys,
ACC.2.13,acc_accident_code,second_alt_coding_sys_ver_id,
ACC.2.14,acc_accident_code,coding_sys_oid,
ACC.2.15,acc_accident_code,value_set_oid,
ACC.2.16,acc_accident_code,value_set_ver_id,
ACC.2.17,acc_accident_code,alt_coding_sys_oid,
ACC.2.18,acc_accident_code,alt_value_set_oid,
ACC.2.19,acc_accident_code,alt_value_set_ver_id,
ACC.2.20,acc_accident_code,second_alt_coding_sys_oid,
ACC.2.21,acc_accident_code,second_alt_value_set_oid,
ACC.2.22,acc_accident_code,second_alt_value_set_ver_id,
ACC.3,acc_accident_location,,
ACC.4,acc_auto_accident_state,,
ACC.5,acc_accident_job_related_ind,,
ACC.6,acc_accident_death_ind,,
ACC.7,acc_entered_by,,
ACC.8,acc_accident_desc,,
ACC.9,acc_brought_in_by,,
ACC.10,acc_police_notified_ind,,
ACC.11,acc_accident_address,,
ACC.12,acc_degree_of_patient_liability,,
ADD.1,add_addendum_continuation_pointer,,
ADJ.1,adj_provider_adjustment_num,,
ADJ.2,adj_payer_adjustment_num,,
ADJ.3,adj_adjustment_sequence_num,,
ADJ.4,adj_adjustment_category,,
ADJ.5,adj_adjustment_amt,,
ADJ.6,adj_adjustment_qty,,
ADJ.7,adj_adjustment_reason_pa,,
ADJ.8,adj_adjustment_desc,,
ADJ.9,adj_original_value,,
ADJ.10,adj_substitute_value,,
ADJ.11,adj_adjustment_action_code,,
ADJ.12,adj_provider_adjustment_cross_reference_num,,
ADJ.13,adj_provider_product_service_line_item_cross_reference_num,,
ADJ.14,adj_adjustment_date_time,,
ADJ.15,adj_responsible_organization,,
AFF.1,aff_set_id,,
AFF.2,aff_professional_organization,,
AFF.3,aff_professional_organization_address,,
AFF.4,aff_professional_organization_affiliation_date_range,,
AFF.5,aff_professional_affiliation_additional_information,,
AIG.1,aig_set_id,,
AIG.2,aig_segment_action_code,,
AIG.3,aig_resource_id,,
AIG.4,aig_resource_type,,
AIG.5,aig_resource_group,,
AIG.6,aig_resource_qty,,
AIG.7,aig_resource_qty_unit,,
AIG.8,aig_start_date_time,,
AIG.9,aig_start_date_time_offset,,
AIG.10,aig_start_date_time_offset_unit,,
AIG.11,aig_duration,,
AIG.12,aig_duration_unit,,
AIG.13,aig_allow_substitution_code,,
AIG.14,aig_filler_status_code,,
AIL.1,ail_set_id,,
AIL.2,ail_segment_action_code,,
AIL.3,ail_location_resource_id,,
AIL.4,ail_location_type,,
AIL.5,ail_location_group,,
AIL.6,ail_start_date_time,,
AIL.7,ail_start_date_time_offset,,
AIL.8,ail_start_date_time_offset_unit,,
AIL.9,ail_duration,,
AIL.10,ail_duration_unit,,
AIL.11,ail_allow_substitution_code,,
AIL.12,ail_filler_status_code,,
AIP.1,aip_set_id,,
AIP.2,aip_segment_action_code,,
AIP.3,aip_personnel_resource_id,,
AIP.4,aip_resource_type,,
AIP.5,aip_resource_group,,
AIP.6,aip_start_date_time,,
AIP.7,aip_start_date_time_offset,,
AIP.8,aip_start_date_time_offset_unit,,
AIP.9,aip_duration,,
AIP.10,aip_duration_unit,,
AIP.11,aip_allow_substitution_code,,
AIP.12,aip_filler_status_code,,
AIS.1,ais_set_id,,
AIS.2,ais_segment_action_code,,
AIS.3,ais_universal_service_id,,
AIS.4,ais_start_date_time,,
AIS.5,ais_start_date_time_offset,,
AIS.6,ais_start_date_time_offset_unit,,
AIS.7,ais_duration,,
AIS.8,ais_duration_unit,,
AIS.9,ais_allow_substitution_code,,
AIS.10,ais_filler_status_code,,
AIS.11,ais_placer_supplemental_service_information,,
AIS.12,ais_filler_supplemental_service_information,,
AL1.1,al1_set_id,,
AL1.2,al1_allergen_type_code,,
AL1.3,al1_allergen_code,,
AL1.3.1,al1_allergen_code,primary_id,
AL1.3.2,al1_allergen_code,text,
AL1.3.3,al1_allergen_code,name_of_coding_sys,
AL1.3.4,al1_allergen_code,alt_id,
AL1.3.5,al1_allergen_code,alt_text,
AL1.3.6,al1_allergen_code,name_of_alt_coding_sys,
AL1.3.7,al1_allergen_code,coding_sys_ver_id,
AL1.3.8,al1_allergen_code,alt_coding_sys_ver_id,
AL1.3.9,al1_allergen_code,original_text,
AL1.3.10,al1_allergen_code,second_alt_id,
AL1.3.11,al1_allergen_code,second_alt_text,
AL1.3.12,al1_allergen_code,name_of_second_alt_coding_sys,
AL1.3.13,al1_allergen_code,second_alt_coding_sys_ver_id,
AL1.3.14,al1_allergen_code,coding_sys_oid,
AL1.3.15,al1_allergen_code,value_set_oid,
AL1.3.16,al1_allergen_code,value_set_ver_id,
AL1.3.17,al1_allergen_code,alt_coding_sys_oid,
AL1.3.18,al1_allergen_code,alt_value_set_oid,
AL1.3.19,al1_allergen_code,alt_value_set_ver_id,
AL1.3.20,al1_allergen_code,second_alt_coding_sys_oid,
AL1.3.21,al1_allergen_code,second_alt_value_set_oid,
AL1.3.22,al1_allergen_code,second_alt_value_set_ver_id,
AL1.4,al1_allergy_severity_code,,
AL1.5,al1_allergy_reaction_code,,
AL1.6,al1_identification_date,,
APR.1,apr_time_selection_criteria,,
APR.2,apr_resource_selection_criteria,,
APR.3,apr_location_selection_criteria,,
APR.4,apr_slot_spacing_criteria,,
APR.5,apr_filler_override_criteria,,
ARQ.1,arq_placer_appointment_id,,
ARQ.2,arq_filler_appointment_id,,
ARQ.3,arq_occurrence_num,,
ARQ.4,arq_placer_group_num,,
ARQ.5,arq_schedule_id,,
ARQ.6,arq_request_event_reason,,
ARQ.7,arq_appointment_reason,,
ARQ.8,arq_appointment_type,,
ARQ.9,arq_appointment_duration,,
ARQ.10,arq_appointment_duration_unit,,
ARQ.11,arq_requested_start_date_time_range,,
ARQ.12,arq_priority,,
ARQ.13,arq_repeating_interval,,
ARQ.14,arq_repeating_interval_duration,,
ARQ.15,arq_placer_contact_person,,
ARQ.16,arq_placer_contact_phone_num,,
ARQ.17,arq_placer_contact_address,,
ARQ.18,arq_placer_contact_location,,
ARQ.19,arq_entered_by_person,,
