SegmentName,Field_Name,Component_Name,Sub_Component_Name,New_Field_Name,New_Component_Name,New_Sub_Component_Name
ABS.1,abs_discharge_care_provider,,,,,
ABS.2,abs_transfer_medical_service_code,,,,,
ABS.3,abs_severity_of_illness_code,,,,,
ABS.4,abs_attestation_date_time,,,,,
ABS.5,abs_attested_by,,,,,
ABS.6,abs_triage_code,,,,,
ABS.7,abs_abstract_completion_date_time,,,,,
ABS.8,abs_abstracted_by,,,,,
ABS.9,abs_case_category_code,,,,,
ABS.10,abs_caesarian_section_ind,,,,,
ABS.11,abs_gestation_category_code,,,,,
ABS.12,abs_gestation_period_weeks,,,,,
ABS.13,abs_newborn_code,,,,,
ABS.14,abs_stillborn_ind,,,,,
ACC.1,acc_accident_date_time,,,,,
ACC.1.1,acc_accident_date_time,acc_accident_date,,,,
ACC.1.2,acc_accident_date_time,acc_accident_time,,,,
ACC.2,acc_accident_code,,,,,
ACC.2.1,acc_accident_code,primary_id,,,,
ACC.2.2,acc_accident_code,text,,,,
ACC.2.3,acc_accident_code,name_of_coding_sys,,,,
ACC.2.4,acc_accident_code,alt_id,,,,
ACC.2.5,acc_accident_code,alt_text,,,,
ACC.2.6,acc_accident_code,name_of_alt_coding_sys,,,,
ACC.2.7,acc_accident_code,coding_sys_ver_id,,,,
ACC.2.8,acc_accident_code,alt_coding_sys_ver_id,,,,
ACC.2.9,acc_accident_code,original_text,,,,
ACC.2.10,acc_accident_code,second_alt_id,,,,
ACC.2.11,acc_accident_code,second_alt_text,,,,
ACC.2.12,acc_accident_code,name_of_second_alt_coding_sys,,,,
ACC.2.13,acc_accident_code,second_alt_coding_sys_ver_id,,,,
ACC.2.14,acc_accident_code,coding_sys_oid,,,,
ACC.2.15,acc_accident_code,value_set_oid,,,,
ACC.2.16,acc_accident_code,value_set_ver_id,,,,
ACC.2.17,acc_accident_code,alt_coding_sys_oid,,,,
ACC.2.18,acc_accident_code,alt_value_set_oid,,,,
ACC.2.19,acc_accident_code,alt_value_set_ver_id,,,,
ACC.2.20,acc_accident_code,second_alt_coding_sys_oid,,,,
ACC.2.21,acc_accident_code,second_alt_value_set_oid,,,,
ACC.2.22,acc_accident_code,second_alt_value_set_ver_id,,,,
ACC.3,acc_accident_location,,,,,
ACC.4,acc_auto_accident_state,,,,,
ACC.4.1,acc_auto_accident_state,primary_id,,,,
ACC.4.2,acc_auto_accident_state,text,,,,
ACC.4.3,acc_auto_accident_state,name_of_coding_sys,,,,
ACC.4.4,acc_auto_accident_state,alt_id,,,,
ACC.4.5,acc_auto_accident_state,alt_text,,,,
ACC.4.6,acc_auto_accident_state,name_of_alt_coding_sys,,,,
ACC.4.7,acc_auto_accident_state,coding_sys_ver_id,,,,
ACC.4.8,acc_auto_accident_state,alt_coding_sys_ver_id,,,,
ACC.4.9,acc_auto_accident_state,original_text,,,,
ACC.4.10,acc_auto_accident_state,second_alt_id,,,,
ACC.4.11,acc_auto_accident_state,second_alt_text,,,,
ACC.4.12,acc_auto_accident_state,name_of_second_alt_coding_sys,,,,
ACC.4.13,acc_auto_accident_state,second_alt_coding_sys_ver_id,,,,
ACC.4.14,acc_auto_accident_state,coding_sys_oid,,,,
ACC.4.15,acc_auto_accident_state,value_set_oid,,,,
ACC.4.16,acc_auto_accident_state,value_set_ver_id,,,,
ACC.4.17,acc_auto_accident_state,alt_coding_sys_oid,,,,
ACC.4.18,acc_auto_accident_state,alt_value_set_oid,,,,
ACC.4.19,acc_auto_accident_state,alt_value_set_ver_id,,,,
ACC.4.20,acc_auto_accident_state,second_alt_coding_sys_oid,,,,
ACC.4.21,acc_auto_accident_state,second_alt_value_set_oid,,,,
ACC.4.22,acc_auto_accident_state,second_alt_value_set_ver_id,,,,
ACC.5,acc_accident_job_related_ind,,,,,
ACC.6,acc_accident_death_ind,,,,,
ACC.7,acc_entered_by,,,,,
ACC.7.1,acc_entered_by,person_id,,,,
ACC.7.2,acc_entered_by,last_name,,,,
ACC.7.2.1,acc_entered_by,last_name,surname,,,
ACC.7.2.2,acc_entered_by,last_name,own_surname_prefix,,,
ACC.7.2.3,acc_entered_by,last_name,own_surname,,,
ACC.7.2.4,acc_entered_by,last_name,surname_prefix_from_partner,,,
ACC.7.2.5,acc_entered_by,last_name,surname_from_partner,,,
ACC.7.3,acc_entered_by,first_name,,,,
ACC.7.4,acc_entered_by,middle_name,,,,
ACC.7.5,acc_entered_by,suffix,,,,
ACC.7.6,acc_entered_by,person_prefix,,,,
ACC.7.7,acc_entered_by,degree,,,,
ACC.7.8,acc_entered_by,source_table,,,,
ACC.7.8.1,acc_entered_by,source_table,primary_id,,,
ACC.7.8.2,acc_entered_by,source_table,text,,,
ACC.7.8.3,acc_entered_by,source_table,name_of_coding_sys,,,
ACC.7.8.4,acc_entered_by,source_table,alt_id,,,
ACC.7.8.5,acc_entered_by,source_table,alt_text,,,
ACC.7.8.6,acc_entered_by,source_table,name_of_alt_coding_sys,,,
ACC.7.8.7,acc_entered_by,source_table,coding_sys_ver_id,,,
ACC.7.8.8,acc_entered_by,source_table,alt_coding_sys_ver_id,,,
ACC.7.8.9,acc_entered_by,source_table,original_text,,,
ACC.7.8.10,acc_entered_by,source_table,second_alt_id,,,
ACC.7.8.11,acc_entered_by,source_table,second_alt_text,,,
ACC.7.8.12,acc_entered_by,source_table,name_of_second_alt_coding_sys,,,
ACC.7.8.13,acc_entered_by,source_table,second_alt_coding_sys_ver_id,,,
ACC.7.8.14,acc_entered_by,source_table,coding_sys_oid,,,
ACC.7.8.15,acc_entered_by,source_table,value_set_oid,,,
ACC.7.8.16,acc_entered_by,source_table,value_set_ver_id,,,
ACC.7.8.17,acc_entered_by,source_table,alt_coding_sys_oid,,,
ACC.7.8.18,acc_entered_by,source_table,alt_value_set_oid,,,
ACC.7.8.19,acc_entered_by,source_table,alt_value_set_ver_id,,,
ACC.7.8.20,acc_entered_by,source_table,second_alt_coding_sys_oid,,,
ACC.7.8.21,acc_entered_by,source_table,second_alt_value_set_oid,,,
ACC.7.8.22,acc_entered_by,source_table,second_alt_value_set_ver_id,,,
ACC.7.9,acc_entered_by,assgn_authr,,,,
ACC.7.9.1,acc_entered_by,assgn_authr,namespace_id,,,
ACC.7.9.2,acc_entered_by,assgn_authr,universal_id,,,
ACC.7.9.3,acc_entered_by,assgn_authr,universal_id_type,,,
ACC.7.10,acc_entered_by,name_type_code,,,,
ACC.7.11,acc_entered_by,identifier_check_digit,,,,
ACC.7.12,acc_entered_by,check_digit_scheme,,,,
ACC.7.13,acc_entered_by,identifier_type_code,,,,
ACC.7.14,acc_entered_by,assgn_facility,,,,
ACC.7.14.1,acc_entered_by,assgn_facility,namespace_id,,,
ACC.7.14.2,acc_entered_by,assgn_facility,universal_id,,,
ACC.7.14.3,acc_entered_by,assgn_facility,universal_id_type,,,
ACC.7.15,acc_entered_by,name_rep_code,,,,
ACC.7.16,acc_entered_by,context,,,,
