segindex,fieldname,compname,subcompname,segindex,newfieldname,newcompname,newsubcompname
ABS.1,abs_discharge_care_provider,,,ABS.1,,,
ABS.2,abs_transfer_medical_service_code,,,ABS.2,,,
ABS.3,abs_severity_of_illness_code,,,ABS.3,,,
ABS.4,abs_attestation_date_time,,,ABS.4,,,
ABS.5,abs_attested_by,,,ABS.5,,,
ABS.6,abs_triage_code,,,ABS.6,,,
ABS.7,abs_abstract_completion_date_time,,,ABS.7,,,
ABS.8,abs_abstracted_by,,,ABS.8,,,
ABS.9,abs_case_category_code,,,ABS.9,,,
ABS.10,abs_caesarian_section_ind,,,ABS.10,,,
ABS.11,abs_gestation_category_code,,,ABS.11,,,
ABS.12,abs_gestation_period_weeks,,,ABS.12,,,
ABS.13,abs_newborn_code,,,ABS.13,,,
ABS.14,abs_stillborn_ind,,,ABS.14,,,
ACC.1,acc_accident_date_time,,,ACC.1,,,
ACC.2,acc_accident_code,,,ACC.2,,,
ACC.2.1,acc_accident_code,primary_id,,ACC.2.1,,,
ACC.2.2,acc_accident_code,text,,ACC.2.2,,,
ACC.2.3,acc_accident_code,name_of_coding_sys,,ACC.2.3,,,
ACC.2.4,acc_accident_code,alt_id,,ACC.2.4,,,
ACC.2.5,acc_accident_code,alt_text,,ACC.2.5,,,
ACC.2.6,acc_accident_code,name_of_alt_coding_sys,,ACC.2.6,,,
ACC.2.7,acc_accident_code,coding_sys_ver_id,,ACC.2.7,,,
ACC.2.8,acc_accident_code,alt_coding_sys_ver_id,,ACC.2.8,,,
ACC.2.9,acc_accident_code,original_text,,ACC.2.9,,,
ACC.2.10,acc_accident_code,second_alt_id,,ACC.2.10,,,
ACC.2.11,acc_accident_code,second_alt_text,,ACC.2.11,,,
ACC.2.12,acc_accident_code,name_of_second_alt_coding_sys,,ACC.2.12,,,
ACC.2.13,acc_accident_code,second_alt_coding_sys_ver_id,,ACC.2.13,,,
ACC.2.14,acc_accident_code,coding_sys_oid,,ACC.2.14,,,
ACC.2.15,acc_accident_code,value_set_oid,,ACC.2.15,,,
ACC.2.16,acc_accident_code,value_set_ver_id,,ACC.2.16,,,
ACC.2.17,acc_accident_code,alt_coding_sys_oid,,ACC.2.17,,,
ACC.2.18,acc_accident_code,alt_value_set_oid,,ACC.2.18,,,
ACC.2.19,acc_accident_code,alt_value_set_ver_id,,ACC.2.19,,,
ACC.2.20,acc_accident_code,second_alt_coding_sys_oid,,ACC.2.20,,,
ACC.2.21,acc_accident_code,second_alt_value_set_oid,,ACC.2.21,,,
ACC.2.22,acc_accident_code,second_alt_value_set_ver_id,,ACC.2.22,,,
ACC.3,acc_accident_location,,,ACC.3,,,
ACC.4,acc_auto_accident_state,,,ACC.4,,,
ACC.4.1,acc_auto_accident_state,primary_id,,ACC.4.1,,,
ACC.4.2,acc_auto_accident_state,text,,ACC.4.2,,,
ACC.4.3,acc_auto_accident_state,name_of_coding_sys,,ACC.4.3,,,
ACC.4.4,acc_auto_accident_state,alt_id,,ACC.4.4,,,
ACC.4.5,acc_auto_accident_state,alt_text,,ACC.4.5,,,
ACC.4.6,acc_auto_accident_state,name_of_alt_coding_sys,,ACC.4.6,,,
ACC.4.7,acc_auto_accident_state,coding_sys_ver_id,,ACC.4.7,,,
ACC.4.8,acc_auto_accident_state,alt_coding_sys_ver_id,,ACC.4.8,,,
ACC.4.9,acc_auto_accident_state,original_text,,ACC.4.9,,,
ACC.4.10,acc_auto_accident_state,second_alt_id,,ACC.4.10,,,
ACC.4.11,acc_auto_accident_state,second_alt_text,,ACC.4.11,,,
ACC.4.12,acc_auto_accident_state,name_of_second_alt_coding_sys,,ACC.4.12,,,
ACC.4.13,acc_auto_accident_state,second_alt_coding_sys_ver_id,,ACC.4.13,,,
ACC.4.14,acc_auto_accident_state,coding_sys_oid,,ACC.4.14,,,
ACC.4.15,acc_auto_accident_state,value_set_oid,,ACC.4.15,,,
ACC.4.16,acc_auto_accident_state,value_set_ver_id,,ACC.4.16,,,
ACC.4.17,acc_auto_accident_state,alt_coding_sys_oid,,ACC.4.17,,,
ACC.4.18,acc_auto_accident_state,alt_value_set_oid,,ACC.4.18,,,
