msh_msg_control_id,unique_message_id
msh_sending_facility,facility_mnemonic
obr_requested_date_time,message_origin_or_requested_date_time
obr_observation_date_time,message_signed_or_observation_date_time
msh_msg_type|message_code,message_type
msh_msg_type|trigger_event,message_event_type
pid_pat_account_num,patient_account_number
pid_medical_record_num,patient_mrn
pid_medical_record_urn,patient_urn
pid_birth_date_time,patient_dob
pid_pat_name|last_name,patient_last_name
pid_pat_name|first_name,patient_first_name
pid_sex,patient_gender
pv1_adm_date_time,patient_admission_date
pv1_dchg_date_time,patient_discharge_date
obr_ordering_provider|person_id,provider_author
obr_ordering_provider|last_name,provider_author_last_name
obr_ordering_provider|first_name,provider_author_first_name
obr_ordering_provider|middle_name,provider_author_middle_name
obr_ordering_provider|suffix,provider_author_suffix
obr_ordering_provider|prefix,provider_author_prefix
obr_ordering_provider|degree,provider_author_degree
obr_result_status,note_type
obr_universal_service_id|identifier,document_type_identifier
obr_universal_service_id|text,document_type_text
obr_universal_service_id|name_of_coding_sys,document_type_name_of_coding_sys
obx_observation_result_status,document_completion_status
obx_observation_value,message_text
